COTISTA; TIPO_COTA; MATR_ALUNO; COD_CURSO; ANO_EVASAO; PERIODO_EVASAO; FORMA_EVASAO; ANO_INGRESSO; DT_SAIDA; SEXO; PERIODO_INGRESSO; ETNIA; NUM_PERIODOS_VERSAO; NUM_PERIODO_ALUNO
S; Baixa Renda e PPI; 2015105847; 55 N; 2018; 1º Semestre; Formado; 2015; 16/08/2018; M; 1º Semestre; Parda; 8; 7
N; Ampla concorrência; 2017101546; 55 N; 2017; 2º Semestre; Desistência; 2017; 10/01/2018; M; 1º Semestre; Branca; 8; 2
N; Ampla concorrência; 2017100087; 55 N; 2020; 1º Semestre; Formado; 2017; 27/01/2021; M; 1º Semestre; Branca; 8; 8
N; Ampla concorrência; 2017204810; 55 N; 2020; 1º Semestre; Desligamento: Resolução 68/2017-CEPE; 2017; 05/03/2020; M; 2º Semestre; Branca; 8; 6
N; Ampla concorrência; 2020101695; 55 N; 2020; 1º Semestre; Desistência; 2020; 19/08/2020; F; 1º Semestre; Branca; 8; 1
N; Ampla concorrência; 2019107410; 55 N; 2022; 2º Semestre; Formado; 2019; 14/04/2023; F; 1º Semestre; Branca; 8; 9
N; Ampla concorrência; 2024102114; 55 N; 2024; 1º Semestre; Desistência; 2024; 02/07/2024; M; 1º Semestre; Branca; 8; 1
N; Ampla concorrência; 2012203179; 55 N; 2019; 1º Semestre; Formado; 2012; 13/09/2019; M; 2º Semestre; Branca; 8; 15
S; Baixa Renda e PPI; 2018207228; 55 N; 2021; 1º Semestre; Formado; 2018; 10/11/2021; M; 2º Semestre; Parda; 8; 7
N; Ampla concorrência; 2021101877; 55 N; 2023; 2º Semestre; Desligamento: Resolução 68/2017-CEPE; 2021; 22/02/2024; M; 1º Semestre; Parda; 8; 4
N; Ampla concorrência; 2019202358; 55 N; 2023; 2º Semestre; Desligamento: Resolução 68/2017-CEPE; 2019; 22/02/2024; M; 2º Semestre; Branca; 8; 7
S; Baixa Renda e Não PPI; 2020102039; 55 N; 2023; 2º Semestre; Desligamento: Resolução 68/2017-CEPE; 2020; 22/02/2024; M; 1º Semestre; Branca; 8; 4
N; Ampla concorrência; 2021100537; 55 N; 2023; 2º Semestre; Desistência; 2021; 02/10/2023; F; 1º Semestre; Branca; 8; 5
N; Ampla concorrência; 2017205029; 55 N; 2021; 2º Semestre; Desligamento: Resolução 68/2017-CEPE; 2017; 22/03/2022; F; 2º Semestre; Não Declarada; 8; 9
N; Ampla concorrência; 2019202975; 55 N; 2022; 2º Semestre; Desligamento: Resolução 68/2017-CEPE; 2019; 07/03/2023; F; 2º Semestre; Parda; 8; 7
N; Ampla concorrência; 2020100917; 55 N; 2020; 1º Semestre; Desistência; 2020; 20/08/2020; F; 1º Semestre; Branca; 8; 1
S; Renda Normal e PPI; 2020203851; 55 N; 2023; 1º Semestre; Desistência; 2020; 11/08/2023; F; 2º Semestre; Parda; 8; 6
N; Ampla concorrência; 2021200019; 55 N; 2023; 1º Semestre; Desistência; 2021; 11/08/2023; F; 2º Semestre; Parda; 8; 5
S; Baixa Renda e Não PPI; 2017204404; 55 N; 2018; 2º Semestre; Desistência; 2017; 02/10/2018; M; 2º Semestre; Branca; 8; 3
S; Baixa Renda e PPI; 2014100393; 55 N; 2021; 1º Semestre; Formado; 2014; 10/11/2021; F; 1º Semestre; Parda; 8; 16
S; Renda Normal e Não PPI; 2021101542; 55 N; 2021; 2º Semestre; Desistência; 2021; 11/11/2021; F; 1º Semestre; Branca; 8; 2
